# n_neurons=1000, time=500 ms, examples_train=250, examples_test=250


g: 7.0, eta: 1.0 - CV: 0.462, rho: 0.0347, rate: 15.4 -- accuracy: 78.80
g: 7.0, eta: 2.0 - CV: 0.720, rho: 0.0179, rate: 18.9 -- accuracy: 77.20
g: 7.0, eta: 2.5 - CV: 0.833, rho: 0.0132, rate: 24.9 -- accuracy: 71.20
g: 7.0, eta: 4.5 - CV: 0.941, rho: 0.0104, rate: 52.1 -- accuracy: 55.20

g: 6.5, eta: 1.4 - CV: 0.520, rho: 0.0316, rate: 17.0 -- accuracy: 78.80

g: 6.0, eta: 0.6 - CV: 0.423, rho: 0.0421, rate: 17.5 -- accuracy: 74.00
g: 6.0, eta: 0.8 - CV: 0.422, rho: 0.0412, rate: 17.5 -- accuracy: 79.60
g: 6.0, eta: 1.0 - CV: 0.430, rho: 0.0410, rate: 17.5 -- accuracy: 78.40
g: 6.0, eta: 1.3 - CV: 0.475, rho: 0.0359, rate: 18.0 -- accuracy: 80.00
g: 6.0, eta: 1.4 - CV: 0.503, rho: 0.0347, rate: 18.3 -- accuracy: 77.20

g: 5.0, eta: 0.6 - CV: 0.387, rho: 0.0532, rate: 21.1 -- accuracy: 80.00
g: 5.0, eta: 0.8 - CV: 0.388, rho: 0.0527, rate: 21.1 -- accuracy: 77.20
g: 5.0, eta: 1.0 - CV: 0.394, rho: 0.0527, rate: 21.1 -- accuracy: 78.40
g: 5.0, eta: 1.3 - CV: 0.439, rho: 0.0477, rate: 21.8 -- accuracy: 77.60

g: 4.0, eta: 0.6 - CV: 0.356, rho: 0.0797, rate: 28.8 -- accuracy: 82.80
g: 4.0, eta: 0.8 - CV: 0.358, rho: 0.0802, rate: 28.8 -- accuracy: 78.80
g: 4.0, eta: 1.0 - CV: 0.362, rho: 0.0792, rate: 28.9 -- accuracy: 76.00
g: 4.0, eta: 1.3 - CV: 0.397, rho: 0.0724, rate: 30.0 -- accuracy: 79.20

g: 3.0, eta: 0.6 - CV: 0.349, rho: 0.1740, rate: 62.3 -- accuracy: 79.60
g: 3.0, eta: 0.8 - CV: 0.349, rho: 0.1745, rate: 62.3 -- accuracy: 80.40
g: 3.0, eta: 1.0 - CV: 0.350, rho: 0.1722, rate: 62.7 -- accuracy: 78.40
g: 3.0, eta: 1.3 - CV: 0.363, rho: 0.1615, rate: 65.1 -- accuracy: 79.60
